field	cf4d.spe
 334.415	 16110
 334.416	 16120
 334.417	 16160
 334.418	 16190
 334.420	 16190
 334.421	 16190
 334.422	 16200
 334.423	 16160
 334.424	 16175
 334.425	 16200
 334.427	 16200
 334.428	 16160
 334.429	 16160
 334.430	 16160
 334.431	 16150
 334.433	 16175
 334.434	 16215
 334.435	 16215
 334.436	 16255
 334.437	 16215
 334.438	 16175
 334.440	 16190
 334.441	 16200
 334.442	 16190
 334.443	 16160
 334.444	 16175
 334.445	 16190
 334.447	 16200
 334.448	 16200
 334.449	 16230
 334.450	 16240
 334.451	 16240
 334.452	 16175
 334.454	 16160
 334.455	 16190
 334.456	 16240
 334.457	 16215
 334.458	 16190
 334.459	 16150
 334.461	 16150
 334.462	 16150
 334.463	 16160
 334.464	 16190
 334.465	 16190
 334.467	 16175
 334.468	 16190
 334.469	 16200
 334.470	 16200
 334.471	 16215
 334.472	 16175
 334.474	 16160
 334.475	 16190
 334.476	 16175
 334.477	 16190
 334.478	 16190
 334.479	 16190
 334.481	 16175
 334.482	 16175
 334.483	 16175
 334.484	 16175
 334.485	 16200
 334.486	 16200
 334.488	 16160
 334.489	 16175
 334.490	 16175
 334.491	 16190
 334.492	 16200
 334.493	 16190
 334.495	 16160
 334.496	 16160
 334.497	 16190
 334.498	 16230
 334.499	 16230
 334.501	 16175
 334.502	 16190
 334.503	 16175
 334.504	 16175
 334.505	 16175
 334.506	 16190
 334.508	 16175
 334.509	 16150
 334.510	 16150
 334.511	 16160
 334.512	 16160
 334.513	 16175
 334.515	 16190
 334.516	 16200
 334.517	 16215
 334.518	 16160
 334.519	 16175
 334.520	 16175
 334.522	 16175
 334.523	 16175
 334.524	 16160
 334.525	 16160
 334.526	 16135
 334.527	 16135
 334.529	 16160
 334.530	 16175
 334.531	 16175
 334.532	 16160
 334.533	 16175
 334.535	 16215
 334.536	 16200
 334.537	 16190
 334.538	 16150
 334.539	 16135
 334.540	 16150
 334.542	 16160
 334.543	 16190
 334.544	 16175
 334.545	 16150
 334.546	 16135
 334.547	 16175
 334.549	 16190
 334.550	 16160
 334.551	 16200
 334.552	 16215
 334.553	 16230
 334.554	 16175
 334.556	 16135
 334.557	 16175
 334.558	 16175
 334.559	 16190
 334.560	 16175
 334.561	 16200
 334.563	 16200
 334.564	 16215
 334.565	 16190
 334.566	 16190
 334.567	 16190
 334.569	 16200
 334.570	 16215
 334.571	 16160
 334.572	 16160
 334.573	 16160
 334.574	 16160
 334.576	 16160
 334.577	 16135
 334.578	 16120
 334.579	 16160
 334.580	 16150
 334.581	 16135
 334.583	 16120
 334.584	 16120
 334.585	 16135
 334.586	 16135
 334.587	 16175
 334.588	 16175
 334.590	 16150
 334.591	 16175
 334.592	 16200
 334.593	 16175
 334.594	 16150
 334.595	 16095
 334.597	 16110
 334.598	 16150
 334.599	 16160
 334.600	 16175
 334.601	 16175
 334.602	 16135
 334.604	 16160
 334.605	 16120
 334.606	 16150
 334.607	 16150
 334.608	 16175
 334.610	 16160
 334.611	 16175
 334.612	 16160
 334.613	 16150
 334.614	 16160
 334.615	 16160
 334.617	 16120
 334.618	 16135
 334.619	 16135
 334.620	 16150
 334.621	 16150
 334.622	 16175
 334.624	 16160
 334.625	 16190
 334.626	 16190
 334.627	 16150
 334.628	 16150
 334.629	 16120
 334.631	 16160
 334.632	 16135
 334.633	 16160
 334.634	 16150
 334.635	 16120
 334.636	 16120
 334.638	 16160
 334.639	 16175
 334.640	 16175
 334.641	 16200
 334.642	 16175
 334.644	 16175
 334.645	 16190
 334.646	 16190
 334.647	 16200
 334.648	 16190
 334.649	 16200
 334.651	 16200
 334.652	 16160
 334.653	 16160
 334.654	 16190
 334.655	 16190
 334.656	 16175
 334.658	 16160
 334.659	 16190
 334.660	 16175
 334.661	 16190
 334.662	 16190
 334.663	 16190
 334.665	 16175
 334.666	 16160
 334.667	 16190
 334.668	 16160
 334.669	 16135
 334.670	 16190
 334.672	 16190
 334.673	 16175
 334.674	 16190
 334.675	 16215
 334.676	 16200
 334.678	 16175
 334.679	 16150
 334.680	 16200
 334.681	 16190
 334.682	 16175
 334.683	 16135
 334.685	 16120
 334.686	 16135
 334.687	 16160
 334.688	 16160
 334.689	 16190
 334.690	 16175
 334.692	 16110
 334.693	 16095
 334.694	 16095
 334.695	 16110
 334.696	 16110
 334.697	 16135
 334.699	 16160
 334.700	 16160
 334.701	 16175
 334.702	 16175
 334.703	 16175
 334.704	 16200
 334.706	 16200
 334.707	 16230
 334.708	 16200
 334.709	 16190
 334.710	 16175
 334.712	 16150
 334.713	 16150
 334.714	 16175
 334.715	 16190
 334.716	 16160
 334.717	 16135
 334.719	 16135
 334.720	 16135
 334.721	 16150
 334.722	 16175
 334.723	 16230
 334.724	 16200
 334.726	 16160
 334.727	 16200
 334.728	 16175
 334.729	 16200
 334.730	 16160
 334.731	 16150
 334.733	 16160
 334.734	 16215
 334.735	 16200
 334.736	 16200
 334.737	 16175
 334.738	 16150
 334.740	 16190
 334.741	 16200
 334.742	 16190
 334.743	 16175
 334.744	 16150
 334.745	 16135
 334.747	 16160
 334.748	 16175
 334.749	 16190
 334.750	 16190
 334.751	 16175
 334.753	 16150
 334.754	 16150
 334.755	 16150
 334.756	 16150
 334.757	 16190
 334.758	 16200
 334.760	 16200
 334.761	 16200
 334.762	 16200
 334.763	 16190
 334.764	 16215
 334.765	 16230
 334.767	 16215
 334.768	 16160
 334.769	 16135
 334.770	 16135
 334.771	 16160
 334.772	 16175
 334.774	 16200
 334.775	 16200
 334.776	 16160
 334.777	 16160
 334.778	 16190
 334.779	 16190
 334.781	 16190
 334.782	 16215
 334.783	 16230
 334.784	 16160
 334.785	 16160
 334.787	 16135
 334.788	 16135
 334.789	 16150
 334.790	 16160
 334.791	 16200
 334.792	 16200
 334.794	 16190
 334.795	 16190
 334.796	 16190
 334.797	 16150
 334.798	 16160
 334.799	 16135
 334.801	 16150
 334.802	 16160
 334.803	 16150
 334.804	 16150
 334.805	 16160
 334.806	 16190
 334.808	 16175
 334.809	 16190
 334.810	 16230
 334.811	 16215
 334.812	 16190
 334.813	 16200
 334.815	 16175
 334.816	 16150
 334.817	 16150
 334.818	 16150
 334.819	 16135
 334.821	 16190
 334.822	 16200
 334.823	 16190
 334.824	 16175
 334.825	 16150
 334.826	 16160
 334.828	 16135
 334.829	 16160
 334.830	 16135
 334.831	 16135
 334.832	 16135
 334.833	 16160
 334.835	 16150
 334.836	 16190
 334.837	 16190
 334.838	 16190
 334.839	 16190
 334.840	 16175
 334.842	 16160
 334.843	 16190
 334.844	 16200
 334.845	 16190
 334.846	 16200
 334.847	 16200
 334.849	 16175
 334.850	 16160
 334.851	 16190
 334.852	 16175
 334.853	 16200
 334.855	 16160
 334.856	 16150
 334.857	 16135
 334.858	 16110
 334.859	 16110
 334.860	 16150
 334.862	 16160
 334.863	 16150
 334.864	 16110
 334.865	 16135
 334.866	 16190
 334.867	 16160
 334.869	 16160
 334.870	 16150
 334.871	 16190
 334.872	 16200
 334.873	 16175
 334.874	 16160
 334.876	 16190
 334.877	 16200
 334.878	 16160
 334.879	 16150
 334.880	 16160
 334.881	 16175
 334.883	 16175
 334.884	 16160
 334.885	 16150
 334.886	 16160
 334.887	 16135
 334.889	 16150
 334.890	 16160
 334.891	 16160
 334.892	 16150
 334.893	 16160
 334.894	 16160
 334.896	 16190
 334.897	 16175
 334.898	 16175
 334.899	 16175
 334.900	 16190
 334.901	 16190
 334.903	 16135
 334.904	 16160
 334.905	 16200
 334.906	 16190
 334.907	 16150
 334.908	 16175
 334.910	 16175
 334.911	 16215
 334.912	 16190
 334.913	 16190
 334.914	 16150
 334.915	 16150
 334.917	 16150
 334.918	 16190
 334.919	 16230
 334.920	 16215
 334.921	 16190
 334.922	 16175
 334.924	 16150
 334.925	 16150
 334.926	 16135
 334.927	 16120
 334.928	 16095
 334.930	 16120
 334.931	 16175
 334.932	 16175
 334.933	 16200
 334.934	 16135
 334.935	 16120
 334.937	 16160
 334.938	 16160
 334.939	 16150
 334.940	 16150
 334.941	 16135
 334.942	 16095
 334.944	 16120
 334.945	 16135
 334.946	 16150
 334.947	 16150
 334.948	 16190
 334.949	 16215
 334.951	 16200
 334.952	 16175
 334.953	 16150
 334.954	 16150
 334.955	 16150
 334.956	 16160
 334.958	 16150
 334.959	 16150
 334.960	 16175
 334.961	 16200
 334.962	 16200
 334.964	 16200
 334.965	 16190
 334.966	 16175
 334.967	 16190
 334.968	 16190
 334.969	 16150
 334.971	 16160
 334.972	 16175
 334.973	 16175
 334.974	 16175
 334.975	 16160
 334.976	 16150
 334.978	 16160
 334.979	 16120
 334.980	 16110
 334.981	 16110
 334.982	 16175
 334.983	 16175
 334.985	 16135
 334.986	 16135
 334.987	 16150
 334.988	 16150
 334.989	 16160
 334.990	 16150
 334.992	 16150
 334.993	 16120
 334.994	 16120
 334.995	 16135
 334.996	 16135
 334.998	 16110
 334.999	 16135
 335.000	 16175
 335.001	 16160
 335.002	 16150
 335.003	 16135
 335.005	 16135
 335.006	 16110
 335.007	 16120
 335.008	 16120
 335.009	 16110
 335.010	 16120
 335.012	 16150
 335.013	 16135
 335.014	 16135
 335.015	 16190
 335.016	 16160
 335.017	 16135
 335.019	 16160
 335.020	 16150
 335.021	 16135
 335.022	 16150
 335.023	 16160
 335.024	 16160
 335.026	 16150
 335.027	 16120
 335.028	 16120
 335.029	 16150
 335.030	 16150
 335.032	 16135
 335.033	 16150
