field	cf1a.spe
 334.415	 16240
 334.416	 16270
 334.417	 16240
 334.418	 16230
 334.420	 16240
 334.421	 16270
 334.422	 16270
 334.423	 16240
 334.424	 16240
 334.425	 16295
 334.427	 16295
 334.428	 16255
 334.429	 16255
 334.430	 16255
 334.431	 16270
 334.433	 16240
 334.434	 16255
 334.435	 16255
 334.436	 16255
 334.437	 16215
 334.438	 16230
 334.440	 16270
 334.441	 16280
 334.442	 16255
 334.443	 16280
 334.444	 16255
 334.445	 16255
 334.447	 16255
 334.448	 16255
 334.449	 16270
 334.450	 16280
 334.451	 16255
 334.452	 16255
 334.454	 16255
 334.455	 16255
 334.456	 16240
 334.457	 16255
 334.458	 16280
 334.459	 16270
 334.461	 16270
 334.462	 16270
 334.463	 16280
 334.464	 16295
 334.465	 16310
 334.467	 16310
 334.468	 16280
 334.469	 16280
 334.470	 16280
 334.471	 16280
 334.472	 16295
 334.474	 16295
 334.475	 16280
 334.476	 16270
 334.477	 16255
 334.478	 16255
 334.479	 16270
 334.481	 16310
 334.482	 16270
 334.483	 16280
 334.484	 16295
 334.485	 16320
 334.486	 16280
 334.488	 16280
 334.489	 16255
 334.490	 16280
 334.491	 16310
 334.492	 16280
 334.493	 16280
 334.495	 16295
 334.496	 16295
 334.497	 16295
 334.498	 16295
 334.499	 16270
 334.501	 16270
 334.502	 16295
 334.503	 16270
 334.504	 16255
 334.505	 16270
 334.506	 16270
 334.508	 16270
 334.509	 16270
 334.510	 16255
 334.511	 16280
 334.512	 16270
 334.513	 16320
 334.515	 16320
 334.516	 16295
 334.517	 16295
 334.518	 16280
 334.519	 16280
 334.520	 16270
 334.522	 16270
 334.523	 16240
 334.524	 16240
 334.525	 16255
 334.526	 16270
 334.527	 16270
 334.529	 16270
 334.530	 16280
 334.531	 16280
 334.532	 16295
 334.533	 16280
 334.535	 16270
 334.536	 16270
 334.537	 16270
 334.538	 16295
 334.539	 16270
 334.540	 16295
 334.542	 16280
 334.543	 16280
 334.544	 16310
 334.545	 16320
 334.546	 16320
 334.547	 16320
 334.549	 16310
 334.550	 16335
 334.551	 16320
 334.552	 16310
 334.553	 16310
 334.554	 16310
 334.556	 16280
 334.557	 16270
 334.558	 16255
 334.559	 16230
 334.560	 16270
 334.561	 16280
 334.563	 16295
 334.564	 16295
 334.565	 16310
 334.566	 16295
 334.567	 16295
 334.569	 16310
 334.570	 16320
 334.571	 16310
 334.572	 16310
 334.573	 16295
 334.574	 16295
 334.576	 16280
 334.577	 16295
 334.578	 16295
 334.579	 16280
 334.580	 16280
 334.581	 16295
 334.583	 16270
 334.584	 16295
 334.585	 16295
 334.586	 16295
 334.587	 16310
 334.588	 16295
 334.590	 16280
 334.591	 16280
 334.592	 16270
 334.593	 16270
 334.594	 16280
 334.595	 16280
 334.597	 16280
 334.598	 16270
 334.599	 16280
 334.600	 16280
 334.601	 16280
 334.602	 16270
 334.604	 16230
 334.605	 16255
 334.606	 16270
 334.607	 16295
 334.608	 16295
 334.610	 16280
 334.611	 16280
 334.612	 16295
 334.613	 16310
 334.614	 16310
 334.615	 16295
 334.617	 16295
 334.618	 16295
 334.619	 16280
 334.620	 16255
 334.621	 16270
 334.622	 16320
 334.624	 16295
 334.625	 16310
 334.626	 16295
 334.627	 16310
 334.628	 16295
 334.629	 16270
 334.631	 16280
 334.632	 16295
 334.633	 16280
 334.634	 16270
 334.635	 16280
 334.636	 16295
 334.638	 16320
 334.639	 16295
 334.640	 16335
 334.641	 16320
 334.642	 16295
 334.644	 16280
 334.645	 16270
 334.646	 16280
 334.647	 16310
 334.648	 16280
 334.649	 16280
 334.651	 16295
 334.652	 16310
 334.653	 16320
 334.654	 16320
 334.655	 16310
 334.656	 16320
 334.658	 16320
 334.659	 16320
 334.660	 16295
 334.661	 16310
 334.662	 16270
 334.663	 16295
 334.665	 16295
 334.666	 16310
 334.667	 16295
 334.668	 16280
 334.669	 16280
 334.670	 16280
 334.672	 16270
 334.673	 16280
 334.674	 16295
 334.675	 16310
 334.676	 16350
 334.678	 16335
 334.679	 16320
 334.680	 16320
 334.681	 16320
 334.682	 16335
 334.683	 16310
 334.685	 16310
 334.686	 16320
 334.687	 16320
 334.688	 16335
 334.689	 16335
 334.690	 16320
 334.692	 16310
 334.693	 16310
 334.694	 16310
 334.695	 16295
 334.696	 16310
 334.697	 16335
 334.699	 16335
 334.700	 16335
 334.701	 16320
 334.702	 16310
 334.703	 16310
 334.704	 16320
 334.706	 16320
 334.707	 16320
 334.708	 16335
 334.709	 16335
 334.710	 16320
 334.712	 16335
 334.713	 16350
 334.714	 16320
 334.715	 16320
 334.716	 16310
 334.717	 16280
 334.719	 16295
 334.720	 16310
 334.721	 16280
 334.722	 16310
 334.723	 16310
 334.724	 16310
 334.726	 16320
 334.727	 16335
 334.728	 16335
 334.729	 16320
 334.730	 16320
 334.731	 16320
 334.733	 16310
 334.734	 16310
 334.735	 16320
 334.736	 16295
 334.737	 16280
 334.738	 16310
 334.740	 16295
 334.741	 16310
 334.742	 16320
 334.743	 16320
 334.744	 16335
 334.745	 16335
 334.747	 16310
 334.748	 16310
 334.749	 16310
 334.750	 16320
 334.751	 16350
 334.753	 16350
 334.754	 16335
 334.755	 16320
 334.756	 16350
 334.757	 16335
 334.758	 16375
 334.760	 16335
 334.761	 16350
 334.762	 16335
 334.763	 16350
 334.764	 16350
 334.765	 16335
 334.767	 16350
 334.768	 16350
 334.769	 16350
 334.770	 16335
 334.771	 16310
 334.772	 16310
 334.774	 16310
 334.775	 16310
 334.776	 16310
 334.777	 16320
 334.778	 16295
 334.779	 16320
 334.781	 16350
 334.782	 16335
 334.783	 16320
 334.784	 16350
 334.785	 16350
 334.787	 16350
 334.788	 16335
 334.789	 16335
 334.790	 16320
 334.791	 16320
 334.792	 16335
 334.794	 16335
 334.795	 16320
 334.796	 16335
 334.797	 16350
 334.798	 16335
 334.799	 16320
 334.801	 16320
 334.802	 16335
 334.803	 16310
 334.804	 16335
 334.805	 16350
 334.806	 16375
 334.808	 16350
 334.809	 16350
 334.810	 16335
 334.811	 16335
 334.812	 16360
 334.813	 16375
 334.815	 16350
 334.816	 16350
 334.817	 16360
 334.818	 16390
 334.819	 16360
 334.821	 16350
 334.822	 16335
 334.823	 16350
 334.824	 16350
 334.825	 16350
 334.826	 16335
 334.828	 16360
 334.829	 16350
 334.830	 16335
 334.831	 16335
 334.832	 16310
 334.833	 16335
 334.835	 16350
 334.836	 16350
 334.837	 16360
 334.838	 16360
 334.839	 16360
 334.840	 16350
 334.842	 16350
 334.843	 16360
 334.844	 16360
 334.845	 16360
 334.846	 16335
 334.847	 16350
 334.849	 16350
 334.850	 16360
 334.851	 16360
 334.852	 16360
 334.853	 16350
 334.855	 16375
 334.856	 16375
 334.857	 16360
 334.858	 16375
 334.859	 16360
 334.860	 16360
 334.862	 16360
 334.863	 16360
 334.864	 16350
 334.865	 16360
 334.866	 16360
 334.867	 16390
 334.869	 16390
 334.870	 16390
 334.871	 16360
 334.872	 16390
 334.873	 16390
 334.874	 16390
 334.876	 16390
 334.877	 16415
 334.878	 16390
 334.879	 16390
 334.880	 16390
 334.881	 16375
 334.883	 16375
 334.884	 16375
 334.885	 16375
 334.886	 16360
 334.887	 16360
 334.889	 16375
 334.890	 16360
 334.891	 16375
 334.892	 16390
 334.893	 16375
 334.894	 16350
 334.896	 16350
 334.897	 16360
 334.898	 16360
 334.899	 16375
 334.900	 16375
 334.901	 16400
 334.903	 16390
 334.904	 16400
 334.905	 16400
 334.906	 16400
 334.907	 16400
 334.908	 16360
 334.910	 16350
 334.911	 16350
 334.912	 16375
 334.913	 16390
 334.914	 16400
 334.915	 16415
 334.917	 16390
 334.918	 16390
 334.919	 16400
 334.920	 16415
 334.921	 16400
 334.922	 16415
 334.924	 16415
 334.925	 16430
 334.926	 16430
 334.927	 16455
 334.928	 16415
 334.930	 16400
 334.931	 16390
 334.932	 16415
 334.933	 16400
 334.934	 16400
 334.935	 16390
 334.937	 16375
 334.938	 16375
