======================== Parameters: ========================  
  
     Center field: 337,00 mT  
     Sweep width: 80,00 mT  
     Mod. amplitude: 1000 uT  
     Power attenuation: 10 dB  
     Gain value: 3 * 10e2  
     Sweep time: 30 s  
     Pass number: 1  
            g-factor: 1,9081  
  Sample temperature: 0,00 °C  
 Set Sample temperature: 0,00 °C  
  
=============================================================  
0 297,00000 16980,00000
1 297,01953 16959,00000
2 297,03906 16920,00000
3 297,05859 16881,00000
4 297,07813 16857,00000
5 297,09766 16848,00000
6 297,11719 16857,00000
7 297,13672 16818,00000
8 297,15625 16830,00000
9 297,17578 16872,00000
10 297,19531 16845,00000
11 297,21484 16896,00000
12 297,23438 16908,00000
13 297,25391 16878,00000
14 297,27344 16863,00000
15 297,29297 16848,00000
16 297,31250 16818,00000
17 297,33203 16830,00000
18 297,35156 16836,00000
19 297,37109 16854,00000
20 297,39063 16800,00000
21 297,41016 16818,00000
22 297,42969 16857,00000
23 297,44922 16872,00000
24 297,46875 16812,00000
25 297,48828 16791,00000
26 297,50781 16776,00000
27 297,52734 16740,00000
28 297,54688 16764,00000
29 297,56641 16776,00000
30 297,58594 16791,00000
31 297,60547 16803,00000
32 297,62500 16824,00000
33 297,64453 16860,00000
34 297,66406 16860,00000
35 297,68359 16848,00000
36 297,70313 16875,00000
37 297,72266 16857,00000
38 297,74219 16881,00000
39 297,76172 16842,00000
40 297,78125 16824,00000
41 297,80078 16818,00000
42 297,82031 16851,00000
43 297,83984 16878,00000
44 297,85938 16929,00000
45 297,87891 16953,00000
46 297,89844 16962,00000
47 297,91797 16920,00000
48 297,93750 16899,00000
49 297,95703 16917,00000
50 297,97656 16926,00000
51 297,99609 16926,00000
52 298,01563 16923,00000
53 298,03516 16953,00000
54 298,05469 16890,00000
55 298,07422 16875,00000
56 298,09375 16869,00000
57 298,11328 16905,00000
58 298,13281 16929,00000
59 298,15234 16935,00000
60 298,17188 16941,00000
61 298,19141 16947,00000
62 298,21094 16953,00000
63 298,23047 16926,00000
64 298,25000 16926,00000
65 298,26953 16935,00000
66 298,28906 16959,00000
67 298,30859 16959,00000
68 298,32813 16959,00000
69 298,34766 16938,00000
70 298,36719 16923,00000
71 298,38672 16926,00000
72 298,40625 16947,00000
73 298,42578 16875,00000
74 298,44531 16842,00000
75 298,46484 16845,00000
76 298,48438 16845,00000
77 298,50391 16830,00000
78 298,52344 16818,00000
79 298,54297 16863,00000
80 298,56250 16851,00000
81 298,58203 16839,00000
82 298,60156 16866,00000
83 298,62109 16914,00000
84 298,64063 16953,00000
85 298,66016 16929,00000
86 298,67969 16869,00000
87 298,69922 16914,00000
88 298,71875 16914,00000
89 298,73828 16941,00000
90 298,75781 16941,00000
91 298,77734 16914,00000
92 298,79688 16905,00000
93 298,81641 16887,00000
94 298,83594 16875,00000
95 298,85547 16926,00000
96 298,87500 16887,00000
97 298,89453 16896,00000
98 298,91406 16887,00000
99 298,93359 16914,00000
100 298,95313 16965,00000
101 298,97266 16971,00000
102 298,99219 16947,00000
103 299,01172 16974,00000
104 299,03125 17004,00000
105 299,05078 17004,00000
106 299,07031 16965,00000
107 299,08984 16968,00000
108 299,10938 17013,00000
109 299,12891 17073,00000
110 299,14844 17067,00000
111 299,16797 17031,00000
112 299,18750 17031,00000
113 299,20703 16995,00000
114 299,22656 17001,00000
115 299,24609 17031,00000
116 299,26563 16983,00000
117 299,28516 17001,00000
118 299,30469 17013,00000
119 299,32422 16962,00000
120 299,34375 16941,00000
121 299,36328 16899,00000
122 299,38281 16860,00000
123 299,40234 16833,00000
124 299,42188 16827,00000
125 299,44141 16833,00000
126 299,46094 16878,00000
127 299,48047 16893,00000
128 299,50000 16899,00000
129 299,51953 16896,00000
130 299,53906 16893,00000
131 299,55859 16914,00000
132 299,57813 16908,00000
133 299,59766 16908,00000
134 299,61719 16932,00000
135 299,63672 16941,00000
136 299,65625 16935,00000
137 299,67578 16926,00000
138 299,69531 16941,00000
139 299,71484 16965,00000
140 299,73438 17016,00000
141 299,75391 17001,00000
142 299,77344 16932,00000
143 299,79297 16899,00000
144 299,81250 16875,00000
145 299,83203 16851,00000
146 299,85156 16893,00000
147 299,87109 16890,00000
148 299,89063 16899,00000
149 299,91016 16917,00000
150 299,92969 16884,00000
151 299,94922 16878,00000
152 299,96875 16872,00000
153 299,98828 16875,00000
154 300,00781 16881,00000
155 300,02734 16869,00000
156 300,04688 16824,00000
157 300,06641 16848,00000
158 300,08594 16869,00000
159 300,10547 16839,00000
160 300,12500 16842,00000
161 300,14453 16842,00000
162 300,16406 16824,00000
163 300,18359 16800,00000
164 300,20313 16764,00000
165 300,22266 16773,00000
166 300,24219 16791,00000
167 300,26172 16782,00000
168 300,28125 16800,00000
169 300,30078 16821,00000
170 300,32031 16827,00000
171 300,33984 16866,00000
172 300,35938 16866,00000
173 300,37891 16848,00000
174 300,39844 16860,00000
175 300,41797 16890,00000
176 300,43750 16923,00000
177 300,45703 16932,00000
178 300,47656 16941,00000
179 300,49609 16950,00000
180 300,51563 16947,00000
181 300,53516 16929,00000
182 300,55469 16965,00000
183 300,57422 16971,00000
184 300,59375 16989,00000
185 300,61328 17040,00000
186 300,63281 17028,00000
187 300,65234 17034,00000
188 300,67188 17019,00000
189 300,69141 17043,00000
190 300,71094 17004,00000
191 300,73047 16989,00000
192 300,75000 17010,00000
193 300,76953 16968,00000
194 300,78906 16971,00000
195 300,80859 16977,00000
196 300,82813 17004,00000
197 300,84766 16965,00000
198 300,86719 16869,00000
199 300,88672 16878,00000
200 300,90625 16866,00000
